
SELECT loc.Borough as Borough, loc.Zone as Zone, AVG(taxi.duration_min) as Avg_Duration
FROM "main"."main"."mart__fact_all_taxi_trips" taxi
JOIN "main"."main"."mart__dim_locations" loc ON taxi.PUlocationID = loc.LocationID
GROUP BY all
ORDER BY 1, 2
'Borough','Zone','Avg_Duration'
'Manhattan','Governor''s Island/Ellis Island/Liberty Island',16.466666666666665008
'Manhattan','Gramercy',16.419970208967423985
'Manhattan','Greenwich Village North',17.047597597029220395
'Manhattan','Greenwich Village South',17.008123892480096373
'Manhattan','Hamilton Heights',16.824822468242764728
'Manhattan','Highbridge Park',15.906820095425203476
'Manhattan','Hudson Sq',17.582026443359843881
'Manhattan','Inwood',16.252102453822818261
'Manhattan','Inwood Hill Park',17.002682463395551338
'Manhattan','Kips Bay',16.607561599966288667
'Manhattan','Lenox Hill East',18.062060365388575178
'Manhattan','Lenox Hill West',15.862614893812930106
'Manhattan','Lincoln Square East',16.545846417126114147
'Manhattan','Lincoln Square West',16.508437778816333008
'Manhattan','Little Italy/NoLiTa',17.949237816324998817
'Manhattan','Lower East Side',17.509844459647208481
'Manhattan','Manhattan Valley',16.777995489881217139
'Manhattan','Manhattanville',16.575358413280156355
'Manhattan','Marble Hill',14.231107205623901634
'Manhattan','Meatpacking/West Village West',17.859983103618482403
'Manhattan','Midtown Center',18.524887008923396791
'Manhattan','Midtown East',17.507467979318295902
'Manhattan','Midtown North',18.083478145596121322
'Manhattan','Midtown South',17.755892358885287052
'Manhattan','Morningside Heights',17.651706101836300178
'Manhattan','Murray Hill',16.648902999036227611
'Manhattan','Penn Station/Madison Sq West',18.103805417323481918
'Manhattan','Randalls Island',22.017994858611825037
'Manhattan','Roosevelt Island',23.891988190980352868
'Manhattan','Seaport',19.618269375059682602
'Manhattan','SoHo',17.889909919117680913
'Manhattan','Stuy Town/Peter Cooper Village',16.873164640157739313
'Manhattan','Sutton Place/Turtle Bay North',16.016964132514480922
'Manhattan','Times Sq/Theatre District',19.646733200654161066
'Manhattan','TriBeCa/Civic Center',18.449480117469640561
'Manhattan','Two Bridges/Seward Park',18.114786814425244187
'Manhattan','UN/Turtle Bay South',16.732647494787922682
'Manhattan','Union Sq',17.049660854280567434
'Manhattan','Upper East Side North',15.886869151550001788
'Manhattan','Upper East Side South',14.604932395508312126
'Manhattan','Upper West Side North',16.636553740565396708
'Manhattan','Upper West Side South',16.244923029463368635
'Manhattan','Washington Heights North',17.021960050245066753
'Manhattan','Washington Heights South',16.978737658215496963
'Manhattan','West Chelsea/Hudson Yards',18.023911167432647317
'Manhattan','West Village',16.52069426578678346
'Manhattan','World Trade Center',21.466899679274408895
'Manhattan','Yorkville East',13.513262820726701818
'Manhattan','Yorkville West',16.059605454446259642
'Queens','Astoria',16.488856593493675717
'Queens','Astoria Park',17.318051575931232121
'Queens','Auburndale',16.395398100803507901
'Queens','Baisley Park',16.039159551314249085
'Queens','Bay Terrace/Fort Totten',18.383046415341034673
'Queens','Bayside',16.328278898839577948
'Queens','Bellerose',17.150963509635097636
'Queens','Breezy Point/Fort Tilden/Riis Beach',29.833028641072516506
'Queens','Briarwood/Jamaica Hills',16.670833554271169418
'Queens','Broad Channel',18.129396984924621705
'Queens','Cambria Heights',17.122571877747873259
'Queens','College Point',30.297827564285245926
'Queens','Corona',15.854672908771147987
'Queens','Douglaston',17.606378183457291441
'Queens','East Elmhurst',17.969344097622681033
'Queens','East Flushing',25.942659264244056771
'Queens','Elmhurst',16.542953791425890841
'Queens','Elmhurst/Maspeth',15.589368571214055947
'Queens','Far Rockaway',24.03989664082687483
'Queens','Flushing',32.917383675040284174
'Queens','Flushing Meadows-Corona Park',24.186191118671906963
'Queens','Forest Hills',17.624545409747202739
'Queens','Forest Park/Highland Park',18.013481363996827866
'Queens','Fresh Meadows',16.876166835646611019
'Queens','Glen Oaks',19.075593603618155924
'Queens','Glendale',16.162504413895550925
'Queens','Hammels/Arverne',23.324477105709441105
'Queens','Hillcrest/Pomonok',18.078599052235961863
'Queens','Hollis',17.056318180713816445
'Queens','Howard Beach',16.349763967184564705
'Queens','JFK Airport',37.105730412211208602
'Queens','Jackson Heights',16.572711656992737516
